,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
252,1613980800000,call,BTC-22FEB21-62000-C,62000.0,57283.95,SYN.BTC-22FEB21,1613824354996,"{'volume': 2.2, 'price_change': 20.0, 'low': 0.0025, 'high': 0.003}",open,,2.0,0.0001,0.036,0.00464625,98.99,0.003,0.0,57128.91,"{'vega': 8.78978, 'theta': -240.30919, 'rho': 0.37233, 'gamma': 5e-05, 'delta': 0.13568}",57128.91,27222728426,"[[0.004, 1.0], [0.0035, 56.1], [0.003, 16.1], [0.0005, 2.4]]",94.68,0.004,1.0,0.0055,1.0,"[[0.0055, 1.0], [0.006, 55.0], [0.007, 0.1], [0.0105, 8.0]]",104.4
253,1616745600000,call,BTC-26MAR21-24000-C,24000.0,59374.02,BTC-26MAR21,1613824354991,"{'volume': 4.2, 'price_change': 2.2184, 'low': 0.5855, 'high': 0.599}",open,0.59,1975.8,0.584,0.625,0.5993621,158.9,0.599,0.0,57128.91,"{'vega': 7.70519, 'theta': -18.10672, 'rho': 21.08804, 'gamma': 0.0, 'delta': 0.98277}",57128.91,27222699894,"[[0.588, 16.0], [0.025, 20.0]]",0.0,0.588,16.0,0.605,13.0,"[[0.605, 13.0], [0.685, 3.0]]",191.14
254,1624608000000,call,BTC-25JUN21-36000-C,36000.0,62834.74,BTC-25JUN21,1613824354994,"{'volume': 5.3, 'price_change': 1.1364, 'low': 0.44, 'high': 0.45}",open,0.44,390.3,0.424,0.51,0.45922245,93.17,0.445,0.0,57128.91,"{'vega': 63.3967, 'theta': -23.66226, 'rho': 95.20038, 'gamma': 1e-05, 'delta': 0.9023}",57128.91,27222688722,"[[0.457, 1.0], [0.438, 10.0], [0.161, 2.0], [0.101, 2.0]]",90.94,0.457,1.0,0.466,10.0,"[[0.466, 10.0], [0.4665, 0.3]]",99.68
255,1624608000000,put,BTC-25JUN21-52000-P,52000.0,62834.74,BTC-25JUN21,1613824354991,"{'volume': 212.5, 'price_change': -20.7547, 'low': 0.126, 'high': 0.159}",open,0.13,249.0,0.067,0.2,0.11973702,92.33,0.126,0.0,57128.91,"{'vega': 120.91547, 'theta': -44.72406, 'rho': -83.195, 'gamma': 1e-05, 'delta': -0.26746}",57128.91,27222742699,"[[0.116, 16.0], [0.1155, 11.4], [0.1135, 11.0], [0.041, 0.1]]",90.38,0.116,16.0,0.12,0.2,"[[0.12, 0.2], [0.1205, 11.4], [0.124, 16.0], [0.13, 11.0]]",92.46
256,1614326400000,call,BTC-26FEB21-60000-C,60000.0,57623.01,BTC-26FEB21,1613824354991,"{'volume': 682.5, 'price_change': 191.6667, 'low': 0.01, 'high': 0.035}",open,0.02,1390.8,0.005,0.0845,0.03482667,103.05,0.035,0.0,57128.91,"{'vega': 28.14071, 'theta': -249.54857, 'rho': 3.37636, 'gamma': 5e-05, 'delta': 0.40289}",57128.91,27222746744,"[[0.0335, 21.9], [0.033, 24.8], [0.0315, 0.1], [0.03, 11.0], [0.0295, 0.1], [0.025, 5.0], [0.0235, 0.2], [0.021, 5.0], [0.019, 10.0], [0.0135, 0.2], [0.0125, 0.2], [0.009, 0.2], [0.004, 0.2], [0.002, 10.3], [0.0015, 3.0], [0.001, 1.0], [0.0005, 3.1]]",100.37,0.0335,21.9,0.0355,0.5,"[[0.0355, 0.5], [0.036, 24.8], [0.037, 11.0], [0.0375, 15.1], [0.039, 10.0], [0.041, 2.0], [0.045, 10.0], [0.093, 0.1], [0.12, 10.0]]",104.46
257,1624608000000,put,BTC-25JUN21-16000-P,16000.0,62834.74,BTC-25JUN21,1613824354997,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,995.8,0.0001,0.0205,0.0043662,126.01,0.0045,0.0,57128.91,"{'vega': 12.33777, 'theta': -6.22826, 'rho': -3.74117, 'gamma': 0.0, 'delta': -0.01305}",57128.91,27222729012,"[[0.0035, 0.1], [0.003, 15.0], [0.002, 3.0], [0.0005, 21.3]]",121.31,0.0035,0.1,0.0055,20.0,"[[0.0055, 20.0], [0.0065, 21.0], [0.012, 2.0], [0.014, 8.0], [0.046, 6.0], [0.076, 0.2], [0.16, 0.1], [0.22, 0.1], [0.27, 0.1], [0.33, 0.1]]",131.41
258,1614931200000,call,BTC-5MAR21-52000-C,52000.0,58212.52,BTC-5MAR21,1613824354991,"{'volume': 17.4, 'price_change': 44.4444, 'low': 0.0855, 'high': 0.1285}",open,0.12,111.0,0.0955,0.1905,0.13777742,102.34,0.1235,0.0,57128.91,"{'vega': 34.42127, 'theta': -137.49919, 'rho': 12.57277, 'gamma': 3e-05, 'delta': 0.75316}",57128.91,27222552980,"[[0.1165, 8.0]]",62.31,0.1165,8.0,0.1615,8.0,"[[0.1615, 8.0], [0.175, 0.2]]",140.67
259,1640937600000,call,BTC-31DEC21-22000-C,22000.0,68140.31,SYN.BTC-31DEC21,1613824354997,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.69,865.8,0.677,0.7395,0.70110972,97.21,0.52,0.0,57128.91,"{'vega': 58.92827, 'theta': -9.12749, 'rho': 149.26644, 'gamma': 0.0, 'delta': 0.95589}",57128.91,27217246033,"[[0.01, 0.2]]",0.0,0.01,0.2,0.0,0.0,[],0.0
260,1616745600000,put,BTC-26MAR21-15000-P,15000.0,59374.02,BTC-26MAR21,1613824354991,"{'volume': 0.1, 'price_change': 0.0, 'low': 0.001, 'high': 0.001}",open,0.0,450.1,0.0001,0.0155,0.00073237,187.57,0.001,0.0,57128.91,"{'vega': 1.90675, 'theta': -5.28914, 'rho': -0.23363, 'gamma': 0.0, 'delta': -0.00352}",57128.91,27222729052,"[[0.0005, 34.1]]",179.34,0.0005,34.1,0.001,2.0,"[[0.001, 2.0], [0.0015, 35.0], [0.002, 21.0], [0.02, 0.5], [0.084, 0.2], [0.088, 0.3], [0.108, 0.2], [0.138, 0.1], [0.4505, 1.0]]",195.03
261,1619769600000,put,BTC-30APR21-80000-P,80000.0,60706.7,SYN.BTC-30APR21,1613824354993,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.44,0.0,0.3275,0.5025,0.40119891,103.19,,0.0,57128.91,"{'vega': 97.3816, 'theta': -73.02099, 'rho': -120.58361, 'gamma': 1e-05, 'delta': -0.65243}",57128.91,27029458107,[],0.0,0.0,0.0,0.0,0.0,[],0.0
262,1616745600000,put,BTC-26MAR21-100000-P,100000.0,59374.0,BTC-26MAR21,1613824355999,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.76,1.0,0.638,0.782,0.69784224,115.23,1.01,0.0,57129.03,"{'vega': 30.52126, 'theta': -52.00989, 'rho': -88.15959, 'gamma': 1e-05, 'delta': -0.90509}",57129.03,27209045519,"[[0.01, 10.0]]",0.0,0.01,10.0,0.0,0.0,[],0.0
263,1615536000000,call,BTC-12MAR21-40000-C,40000.0,58601.05,SYN.BTC-12MAR21,1613824356000,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.3,0.0,0.2985,0.3675,0.32691798,121.45,,0.0,57129.03,"{'vega': 17.91797, 'theta': -54.92318, 'rho': 19.24629, 'gamma': 1e-05, 'delta': 0.93204}",57129.03,27222577390,"[[0.2975, 1.0]]",0.0,0.2975,1.0,0.0,0.0,[],0.0
264,1615536000000,call,BTC-12MAR21-46000-C,46000.0,58601.05,SYN.BTC-12MAR21,1613824356000,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.21,0.0,0.198,0.2825,0.23439258,107.05,,0.0,57129.03,"{'vega': 29.88972, 'theta': -80.75896, 'rho': 20.00437, 'gamma': 1e-05, 'delta': 0.86335}",57129.03,27220305763,[],0.0,0.0,0.0,0.0,0.0,[],0.0
